without smoothing 
correct ans : stuck, prediction is: reply
correct ans : said, prediction is: said
correct ans : tell, prediction is: do
correct ans : reached, prediction is: reached
correct ans : threw, prediction is: called
correct ans : wonder, prediction is: saw
correct ans : said, prediction is: said
correct ans : understand, prediction is: knew
correct ans : said, prediction is: said
correct ans : taking, prediction is: said
correct ans : suggested, prediction is: muttered
correct ans : put, prediction is: put
correct ans : went, prediction is: went
correct ans : told, prediction is: told
correct ans : went, prediction is: went
correct ans : know, prediction is: know
correct ans : turned, prediction is: saw
correct ans : said, prediction is: said
correct ans : think, prediction is: thought
correct ans : said, prediction is: said
correct ans : asked, prediction is: asked
correct ans : see, prediction is: see
correct ans : found, prediction is: sat
correct ans : found, prediction is: found
correct ans : think, prediction is: think
correct ans : turned, prediction is: took
correct ans : come, prediction is: go
correct ans : went, prediction is: said
correct ans : loved, prediction is: am
correct ans : placed, prediction is: heard
correct ans : looked, prediction is: said
correct ans : see, prediction is: see
correct ans : go, prediction is: go
correct ans : mounted, prediction is: lived
correct ans : commented, prediction is: muttered
correct ans : take, prediction is: became
correct ans : said, prediction is: said
correct ans : scamper, prediction is: scamper
correct ans : made, prediction is: made
correct ans : withdrew, prediction is: had
correct ans : declared, prediction is: declared
correct ans : went, prediction is: went
correct ans : wanted, prediction is: said
correct ans : said, prediction is: said
correct ans : wonder, prediction is: said
correct ans : took, prediction is: took
correct ans : come, prediction is: come
correct ans : vanish, prediction is: seem
correct ans : pine, prediction is: pine
correct ans : keep, prediction is: do
correct ans : thought, prediction is: thought
correct ans : suppose, prediction is: know
correct ans : said, prediction is: said
correct ans : seemed, prediction is: 
correct ans : said, prediction is: said
correct ans : see, prediction is: see
correct ans : found, prediction is: gone
correct ans : tell, prediction is: tell
correct ans : saw, prediction is: saw
correct ans : see, prediction is: see
correct ans : thought, prediction is: went
add 1 smoothing 
correct ans : stuck, prediction is: reply
correct ans : found, prediction is: know
correct ans : took, prediction is: took
correct ans : tell, prediction is: 'm
correct ans : said, prediction is: said
correct ans : pine, prediction is: pine
correct ans : killed, prediction is: told
correct ans : came, prediction is: came
correct ans : knows, prediction is: is
correct ans : replied, prediction is: said
correct ans : think, prediction is: tell
correct ans : replied, prediction is: said
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : said, prediction is: 're
correct ans : think, prediction is: think
correct ans : went, prediction is: said
correct ans : wanted, prediction is: wanted
correct ans : fought, prediction is: felt
correct ans : went, prediction is: come
correct ans : said, prediction is: said
correct ans : rode, prediction is: came
correct ans : said, prediction is: said
correct ans : get, prediction is: saw
correct ans : reached, prediction is: took
correct ans : show, prediction is: give
correct ans : round, prediction is: round
correct ans : fear, prediction is: am
correct ans : went, prediction is: know
correct ans : falling, prediction is: looking
correct ans : led, prediction is: drew
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : see, prediction is: go
correct ans : chuckled, prediction is: found
correct ans : spent, prediction is: gone
correct ans : look, prediction is: say
correct ans : called, prediction is: said
correct ans : answered, prediction is: answered
correct ans : took, prediction is: let
correct ans : gave, prediction is: went
correct ans : lives, prediction is: see
correct ans : ran, prediction is: took
correct ans : said, prediction is: said
correct ans : called, prediction is: go
correct ans : hope, prediction is: know
correct ans : made, prediction is: made
correct ans : felt, prediction is: thought
correct ans : became, prediction is: became
correct ans : said, prediction is: said
correct ans : coming, prediction is: made
correct ans : play, prediction is: went
correct ans : made, prediction is: asked
correct ans : written, prediction is: hurt
correct ans : doing, prediction is: doing
correct ans : grown, prediction is: grown
correct ans : doing, prediction is: came
correct ans : put, prediction is: put
correct ans : said, prediction is: said
correct ans : knew, prediction is: knew
correct ans : answered, prediction is: answered
correct ans : see, prediction is: see
correct ans : went, prediction is: said
correct ans : says, prediction is: went
correct ans : asked, prediction is: asked
correct ans : said, prediction is: said
correct ans : am, prediction is: am
correct ans : said, prediction is: said
correct ans : know, prediction is: think
correct ans : went, prediction is: went
correct ans : see, prediction is: know
correct ans : make, prediction is: see
correct ans : led, prediction is: made
correct ans : came, prediction is: came
correct ans : leave, prediction is: tell
correct ans : told, prediction is: went
correct ans : said, prediction is: said
correct ans : pecked, prediction is: found
correct ans : seen, prediction is: seen
correct ans : cried, prediction is: replied
correct ans : feeling, prediction is: go
correct ans : came, prediction is: came
correct ans : see, prediction is: went
correct ans : sprang, prediction is: sprang
correct ans : decided, prediction is: told
correct ans : know, prediction is: know
correct ans : said, prediction is: said
correct ans : saw, prediction is: saw
correct ans : come, prediction is: come
correct ans : looked, prediction is: said
correct ans : said, prediction is: said
correct ans : lost, prediction is: lost
correct ans : gave, prediction is: said
correct ans : told, prediction is: said
correct ans : guess, prediction is: hope
correct ans : carried, prediction is: took
correct ans : made, prediction is: made
correct ans : saw, prediction is: set
correct ans : think, prediction is: say
correct ans : sought, prediction is: reached
correct ans : came, prediction is: came
correct ans : see, prediction is: see
correct ans : put, prediction is: go
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : considered, prediction is: ended
correct ans : run, prediction is: think
correct ans : write, prediction is: write
correct ans : heard, prediction is: heard
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : know, prediction is: know
correct ans : see, prediction is: see
correct ans : sobbed, prediction is: said
correct ans : hoped, prediction is: came
correct ans : seen, prediction is: sat
correct ans : wrote, prediction is: said
correct ans : informed, prediction is: made
correct ans : scowled, prediction is: came
correct ans : contributes, prediction is: made
correct ans : saw, prediction is: saw
correct ans : seen, prediction is: tell
correct ans : see, prediction is: see
correct ans : said, prediction is: said
correct ans : told, prediction is: went
correct ans : do, prediction is: do
correct ans : lead, prediction is: say
correct ans : came, prediction is: knew
correct ans : changed, prediction is: caught
correct ans : eat, prediction is: said
correct ans : called, prediction is: called
correct ans : see, prediction is: see
correct ans : make, prediction is: make
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : replied, prediction is: answered
correct ans : think, prediction is: think
correct ans : think, prediction is: do
correct ans : said, prediction is: said
correct ans : think, prediction is: am
correct ans : made, prediction is: went
correct ans : called, prediction is: went
correct ans : seeing, prediction is: come
correct ans : answered, prediction is: answered
correct ans : know, prediction is: 'm
correct ans : meet, prediction is: meet
correct ans : go, prediction is: go
correct ans : said, prediction is: said
correct ans : thinking, prediction is: thinking
correct ans : dove, prediction is: dove
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : sat, prediction is: sat
correct ans : said, prediction is: said
correct ans : whistle, prediction is: whistle
correct ans : supposed, prediction is: locked
correct ans : passed, prediction is: said
correct ans : come, prediction is: come
correct ans : born, prediction is: heard
correct ans : felt, prediction is: felt
correct ans : know, prediction is: know
correct ans : said, prediction is: said
correct ans : stay, prediction is: stay
correct ans : taken, prediction is: made
correct ans : lying, prediction is: made
correct ans : heard, prediction is: heard
correct ans : came, prediction is: said
correct ans : match, prediction is: tell
correct ans : make, prediction is: go
correct ans : said, prediction is: do
correct ans : said, prediction is: said
correct ans : tell, prediction is: came
correct ans : let, prediction is: go
correct ans : said, prediction is: said
correct ans : touched, prediction is: know
correct ans : called, prediction is: sent
correct ans : said, prediction is: think
correct ans : saw, prediction is: saw
correct ans : said, prediction is: heard
correct ans : said, prediction is: said
correct ans : give, prediction is: come
correct ans : bring, prediction is: go
correct ans : said, prediction is: said
correct ans : made, prediction is: made
correct ans : come, prediction is: get
correct ans : asked, prediction is: took
correct ans : said, prediction is: made
correct ans : brave, prediction is: said
correct ans : tell, prediction is: took
correct ans : cried, prediction is: came
correct ans : answered, prediction is: sent
correct ans : came, prediction is: went
correct ans : said, prediction is: said
correct ans : saw, prediction is: said
correct ans : let, prediction is: make
correct ans : think, prediction is: like
correct ans : read, prediction is: made
correct ans : laughed, prediction is: looked
correct ans : set, prediction is: made
correct ans : know, prediction is: know
correct ans : let, prediction is: let
correct ans : sat, prediction is: sat
correct ans : said, prediction is: said
correct ans : gave, prediction is: saying
correct ans : wrote, prediction is: cried
correct ans : said, prediction is: said
correct ans : pine, prediction is: thought
correct ans : brave, prediction is: thought
correct ans : asked, prediction is: go
correct ans : got, prediction is: 's
correct ans : said, prediction is: said
correct ans : laughed, prediction is: gave
correct ans : said, prediction is: said
correct ans : burning, prediction is: lost
correct ans : brought, prediction is: brought
correct ans : thrown, prediction is: seen
correct ans : add, prediction is: do
correct ans : saw, prediction is: took
correct ans : know, prediction is: know
correct ans : lamented, prediction is: asked
correct ans : come, prediction is: come
correct ans : went, prediction is: went
correct ans : called, prediction is: said
correct ans : know, prediction is: know
correct ans : ask, prediction is: went
correct ans : heard, prediction is: heard
correct ans : know, prediction is: know
correct ans : said, prediction is: said
correct ans : come, prediction is: come
correct ans : neighed, prediction is: saw
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : told, prediction is: went
correct ans : think, prediction is: think
correct ans : says, prediction is: says
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : heard, prediction is: saw
correct ans : see, prediction is: see
correct ans : run, prediction is: run
correct ans : go, prediction is: let
correct ans : went, prediction is: went
correct ans : followed, prediction is: followed
correct ans : scurried, prediction is: knew
correct ans : come, prediction is: come
correct ans : found, prediction is: found
correct ans : said, prediction is: said
correct ans : barked, prediction is: found
correct ans : make, prediction is: make
correct ans : went, prediction is: went
correct ans : make, prediction is: see
correct ans : know, prediction is: know
correct ans : said, prediction is: said
correct ans : got, prediction is: went
correct ans : saw, prediction is: saw
correct ans : love, prediction is: do
correct ans : see, prediction is: come
correct ans : came, prediction is: came
correct ans : went, prediction is: went
correct ans : said, prediction is: 'm
correct ans : come, prediction is: come
correct ans : answered, prediction is: went
correct ans : let, prediction is: let
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : thought, prediction is: thought
correct ans : says, prediction is: says
correct ans : said, prediction is: said
correct ans : ran, prediction is: knew
correct ans : said, prediction is: said
correct ans : take, prediction is: take
correct ans : puffed, prediction is: happened
correct ans : get, prediction is: let
correct ans : am, prediction is: am
correct ans : heard, prediction is: said
correct ans : said, prediction is: said
correct ans : answered, prediction is: went
correct ans : seemed, prediction is: seemed
correct ans : said, prediction is: said
correct ans : know, prediction is: know
correct ans : said, prediction is: said
correct ans : came, prediction is: said
correct ans : take, prediction is: take
correct ans : turned, prediction is: turned
correct ans : sat, prediction is: came
correct ans : let, prediction is: go
correct ans : know, prediction is: know
correct ans : found, prediction is: found
correct ans : came, prediction is: came
correct ans : said, prediction is: know
correct ans : replied, prediction is: went
correct ans : know, prediction is: know
correct ans : said, prediction is: said
correct ans : am, prediction is: am
correct ans : came, prediction is: came
correct ans : know, prediction is: know
correct ans : saw, prediction is: went
correct ans : slept, prediction is: called
correct ans : am, prediction is: am
correct ans : make, prediction is: make
correct ans : made, prediction is: made
correct ans : walked, prediction is: stayed
correct ans : run, prediction is: put
correct ans : let, prediction is: said
correct ans : come, prediction is: see
correct ans : smiling, prediction is: smiling
correct ans : knew, prediction is: knew
correct ans : seems, prediction is: seems
correct ans : find, prediction is: find
correct ans : fight, prediction is: look
correct ans : go, prediction is: go
correct ans : says, prediction is: says
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : smiling, prediction is: smiling
correct ans : tied, prediction is: said
correct ans : killed, prediction is: went
correct ans : gone, prediction is: gone
correct ans : see, prediction is: see
correct ans : tell, prediction is: tell
correct ans : see, prediction is: see
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : sat, prediction is: sat
correct ans : came, prediction is: came
correct ans : said, prediction is: said
correct ans : say, prediction is: say
correct ans : stood, prediction is: came
correct ans : returned, prediction is: returned
correct ans : go, prediction is: go
correct ans : let, prediction is: let
correct ans : think, prediction is: know
correct ans : said, prediction is: said
correct ans : came, prediction is: came
correct ans : came, prediction is: went
correct ans : disappear, prediction is: tell
correct ans : see, prediction is: see
correct ans : seen, prediction is: seen
correct ans : drew, prediction is: drew
correct ans : said, prediction is: said
correct ans : tell, prediction is: give
correct ans : ordered, prediction is: said
correct ans : said, prediction is: said
correct ans : marked, prediction is: made
correct ans : answered, prediction is: answered
correct ans : take, prediction is: take
correct ans : went, prediction is: went
correct ans : played, prediction is: played
correct ans : keep, prediction is: keep
correct ans : go, prediction is: go
correct ans : came, prediction is: 'm
correct ans : looked, prediction is: 's
correct ans : see, prediction is: see
correct ans : go, prediction is: go
correct ans : take, prediction is: do
correct ans : lay, prediction is: keep
correct ans : stay, prediction is: come
correct ans : said, prediction is: said
correct ans : told, prediction is: told
correct ans : think, prediction is: know
correct ans : happened, prediction is: took
correct ans : is, prediction is: is
correct ans : give, prediction is: get
correct ans : get, prediction is: see
correct ans : said, prediction is: said
correct ans : paid, prediction is: said
correct ans : spent, prediction is: came
correct ans : said, prediction is: said
correct ans : look, prediction is: is
correct ans : know, prediction is: am
correct ans : says, prediction is: said
correct ans : said, prediction is: said
correct ans : says, prediction is: 's
correct ans : am, prediction is: am
correct ans : gone, prediction is: know
correct ans : said, prediction is: said
correct ans : expect, prediction is: think
correct ans : tell, prediction is: tell
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : shining, prediction is: shining
correct ans : said, prediction is: said
correct ans : come, prediction is: come
correct ans : think, prediction is: think
correct ans : said, prediction is: come
correct ans : notice, prediction is: know
correct ans : set, prediction is: come
correct ans : know, prediction is: know
correct ans : said, prediction is: said
correct ans : converted, prediction is: added
correct ans : making, prediction is: making
correct ans : come, prediction is: come
correct ans : killed, prediction is: saw
correct ans : declared, prediction is: declared
correct ans : fell, prediction is: looked
correct ans : said, prediction is: said
correct ans : took, prediction is: took
correct ans : came, prediction is: came
correct ans : heard, prediction is: came
correct ans : give, prediction is: tell
correct ans : said, prediction is: said
correct ans : saw, prediction is: saw
correct ans : come, prediction is: go
correct ans : wrote, prediction is: said
correct ans : think, prediction is: think
correct ans : suggested, prediction is: changed
correct ans : hear, prediction is: went
correct ans : tell, prediction is: tell
correct ans : says, prediction is: 's
correct ans : said, prediction is: said
correct ans : came, prediction is: said
correct ans : let, prediction is: go
correct ans : came, prediction is: came
correct ans : told, prediction is: went
correct ans : see, prediction is: see
correct ans : see, prediction is: see
correct ans : see, prediction is: see
correct ans : heard, prediction is: said
correct ans : taken, prediction is: taken
correct ans : took, prediction is: saw
correct ans : said, prediction is: said
correct ans : replied, prediction is: replied
correct ans : laughed, prediction is: ran
correct ans : took, prediction is: set
correct ans : want, prediction is: think
correct ans : believe, prediction is: suppose
correct ans : find, prediction is: come
correct ans : heard, prediction is: seen
correct ans : wrote, prediction is: 've
correct ans : said, prediction is: said
correct ans : came, prediction is: came
correct ans : called, prediction is: called
correct ans : said, prediction is: said
correct ans : come, prediction is: come
correct ans : said, prediction is: went
correct ans : called, prediction is: brought
correct ans : said, prediction is: said
correct ans : set, prediction is: came
correct ans : go, prediction is: go
correct ans : found, prediction is: found
correct ans : thought, prediction is: said
correct ans : thought, prediction is: did
correct ans : sent, prediction is: asked
correct ans : take, prediction is: take
correct ans : said, prediction is: said
correct ans : remember, prediction is: take
correct ans : guess, prediction is: guess
correct ans : lose, prediction is: come
correct ans : came, prediction is: came
correct ans : know, prediction is: know
correct ans : said, prediction is: said
correct ans : looked, prediction is: saw
correct ans : knew, prediction is: knew
correct ans : come, prediction is: come
correct ans : take, prediction is: go
correct ans : go, prediction is: go
correct ans : see, prediction is: see
correct ans : heard, prediction is: heard
correct ans : going, prediction is: went
correct ans : mind, prediction is: mind
correct ans : sleep, prediction is: look
correct ans : coming, prediction is: coming
correct ans : got, prediction is: knew
correct ans : saw, prediction is: saw
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : shook, prediction is: shook
correct ans : sent, prediction is: 've
correct ans : saw, prediction is: saw
correct ans : talk, prediction is: meet
correct ans : exclaimed, prediction is: found
correct ans : took, prediction is: took
correct ans : walked, prediction is: thought
correct ans : thinking, prediction is: thinking
correct ans : get, prediction is: got
correct ans : see, prediction is: see
correct ans : said, prediction is: said
correct ans : lead, prediction is: lead
correct ans : said, prediction is: said
correct ans : spoke, prediction is: asked
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : know, prediction is: know
correct ans : know, prediction is: know
correct ans : came, prediction is: came
correct ans : go, prediction is: go
correct ans : said, prediction is: make
correct ans : shouted, prediction is: knew
correct ans : said, prediction is: said
correct ans : smiled, prediction is: hurried
correct ans : take, prediction is: see
correct ans : flew, prediction is: saw
correct ans : going, prediction is: going
correct ans : came, prediction is: came
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : go, prediction is: want
correct ans : know, prediction is: know
correct ans : countenance, prediction is: countenance
correct ans : drew, prediction is: drew
correct ans : am, prediction is: am
correct ans : filled, prediction is: filled
correct ans : came, prediction is: came
correct ans : am, prediction is: am
correct ans : replied, prediction is: replied
correct ans : said, prediction is: said
correct ans : know, prediction is: know
correct ans : saw, prediction is: am
correct ans : told, prediction is: told
correct ans : tell, prediction is: see
correct ans : give, prediction is: give
correct ans : fell, prediction is: know
correct ans : said, prediction is: said
correct ans : made, prediction is: made
correct ans : said, prediction is: said
correct ans : says, prediction is: go
correct ans : say, prediction is: see
correct ans : returned, prediction is: said
correct ans : said, prediction is: said
correct ans : talked, prediction is: put
correct ans : said, prediction is: think
correct ans : made, prediction is: see
correct ans : woven, prediction is: going
correct ans : see, prediction is: see
correct ans : bring, prediction is: went
correct ans : said, prediction is: said
correct ans : laid, prediction is: came
correct ans : found, prediction is: watched
correct ans : think, prediction is: know
correct ans : said, prediction is: see
correct ans : heard, prediction is: heard
correct ans : see, prediction is: see
correct ans : meet, prediction is: meet
correct ans : saw, prediction is: said
correct ans : made, prediction is: made
correct ans : folds, prediction is: said
correct ans : find, prediction is: see
correct ans : getting, prediction is: is
correct ans : know, prediction is: know
correct ans : write, prediction is: see
correct ans : being, prediction is: being
correct ans : said, prediction is: said
correct ans : replied, prediction is: replied
correct ans : called, prediction is: take
correct ans : replied, prediction is: answered
correct ans : saw, prediction is: saw
correct ans : come, prediction is: saw
correct ans : covered, prediction is: know
correct ans : made, prediction is: got
correct ans : said, prediction is: said
correct ans : go, prediction is: go
correct ans : went, prediction is: went
correct ans : made, prediction is: made
correct ans : found, prediction is: found
correct ans : came, prediction is: came
correct ans : seen, prediction is: seen
correct ans : dressed, prediction is: turning
correct ans : headed, prediction is: went
correct ans : say, prediction is: see
correct ans : said, prediction is: reached
correct ans : seen, prediction is: say
correct ans : thought, prediction is: thought
correct ans : fallen, prediction is: said
correct ans : replied, prediction is: replied
correct ans : said, prediction is: said
correct ans : killed, prediction is: saw
correct ans : said, prediction is: said
correct ans : see, prediction is: see
correct ans : said, prediction is: said
correct ans : went, prediction is: went
correct ans : let, prediction is: come
correct ans : drink, prediction is: tell
correct ans : looked, prediction is: thought
correct ans : go, prediction is: go
correct ans : said, prediction is: said
correct ans : come, prediction is: see
correct ans : think, prediction is: think
correct ans : see, prediction is: see
correct ans : saying, prediction is: saying
correct ans : think, prediction is: think
correct ans : see, prediction is: see
correct ans : keep, prediction is: keep
correct ans : take, prediction is: tell
correct ans : called, prediction is: see
correct ans : said, prediction is: said
correct ans : hope, prediction is: said
correct ans : looked, prediction is: looked
correct ans : go, prediction is: go
correct ans : came, prediction is: came
correct ans : said, prediction is: said
correct ans : answered, prediction is: answered
correct ans : feel, prediction is: think
correct ans : said, prediction is: said
correct ans : found, prediction is: found
correct ans : heard, prediction is: heard
correct ans : made, prediction is: came
correct ans : said, prediction is: said
correct ans : take, prediction is: take
correct ans : find, prediction is: come
correct ans : said, prediction is: said
correct ans : heard, prediction is: come
correct ans : want, prediction is: come
correct ans : tell, prediction is: said
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : stay, prediction is: do
correct ans : returned, prediction is: returned
correct ans : like, prediction is: think
correct ans : returned, prediction is: returned
correct ans : said, prediction is: said
correct ans : found, prediction is: found
correct ans : said, prediction is: said
correct ans : came, prediction is: came
correct ans : got, prediction is: got
correct ans : am, prediction is: am
correct ans : come, prediction is: come
correct ans : wanted, prediction is: happened
correct ans : go, prediction is: said
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : smiling, prediction is: smiling
correct ans : drove, prediction is: answered
correct ans : wandered, prediction is: came
correct ans : said, prediction is: said
correct ans : think, prediction is: think
correct ans : fetch, prediction is: go
correct ans : go, prediction is: go
correct ans : came, prediction is: came
correct ans : entered, prediction is: wanted
correct ans : said, prediction is: said
correct ans : smiling, prediction is: smiling
correct ans : gave, prediction is: gave
correct ans : find, prediction is: find
correct ans : said, prediction is: said
correct ans : thought, prediction is: told
correct ans : said, prediction is: said
correct ans : looked, prediction is: came
correct ans : went, prediction is: went
correct ans : came, prediction is: felt
correct ans : come, prediction is: see
correct ans : said, prediction is: said
correct ans : reach, prediction is: help
correct ans : think, prediction is: 've
correct ans : went, prediction is: went
correct ans : make, prediction is: take
correct ans : saw, prediction is: saw
correct ans : come, prediction is: come
correct ans : said, prediction is: said
correct ans : stood, prediction is: stood
correct ans : make, prediction is: see
correct ans : answered, prediction is: returned
correct ans : sent, prediction is: felt
correct ans : made, prediction is: made
correct ans : know, prediction is: know
correct ans : am, prediction is: am
correct ans : said, prediction is: said
correct ans : chuckled, prediction is: felt
correct ans : made, prediction is: looked
correct ans : feared, prediction is: known
correct ans : let, prediction is: do
correct ans : got, prediction is: made
correct ans : came, prediction is: said
correct ans : says, prediction is: says
correct ans : said, prediction is: said
correct ans : tell, prediction is: tell
correct ans : get, prediction is: get
correct ans : let, prediction is: find
correct ans : said, prediction is: said
correct ans : covered, prediction is: covered
correct ans : think, prediction is: know
correct ans : said, prediction is: said
correct ans : make, prediction is: make
correct ans : come, prediction is: come
correct ans : added, prediction is: found
correct ans : replied, prediction is: replied
correct ans : forgotten, prediction is: thought
correct ans : show, prediction is: asked
correct ans : looked, prediction is: 's
correct ans : play, prediction is: asked
correct ans : ran, prediction is: said
correct ans : gone, prediction is: going
correct ans : tell, prediction is: tell
correct ans : see, prediction is: gave
correct ans : opened, prediction is: put
correct ans : hurried, prediction is: come
correct ans : put, prediction is: put
correct ans : dream, prediction is: see
correct ans : talked, prediction is: answered
correct ans : lay, prediction is: lay
correct ans : reached, prediction is: said
correct ans : changed, prediction is: changed
correct ans : find, prediction is: want
correct ans : tell, prediction is: get
correct ans : took, prediction is: took
correct ans : going, prediction is: going
correct ans : danced, prediction is: thought
correct ans : cried, prediction is: went
correct ans : gave, prediction is: gave
correct ans : take, prediction is: go
correct ans : think, prediction is: do
correct ans : asked, prediction is: went
correct ans : made, prediction is: made
correct ans : heard, prediction is: gone
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : found, prediction is: do
correct ans : make, prediction is: make
correct ans : tell, prediction is: tell
correct ans : found, prediction is: found
correct ans : came, prediction is: came
correct ans : called, prediction is: said
correct ans : know, prediction is: know
correct ans : came, prediction is: came
correct ans : called, prediction is: went
correct ans : give, prediction is: know
correct ans : gave, prediction is: said
correct ans : come, prediction is: come
correct ans : go, prediction is: go
correct ans : put, prediction is: said
correct ans : guessed, prediction is: said
correct ans : said, prediction is: said
correct ans : eat, prediction is: mind
correct ans : make, prediction is: make
correct ans : went, prediction is: went
correct ans : turning, prediction is: turning
correct ans : worry, prediction is: open
correct ans : exclaimed, prediction is: passed
correct ans : know, prediction is: know
correct ans : looking, prediction is: looking
correct ans : hurried, prediction is: took
correct ans : said, prediction is: answered
correct ans : answered, prediction is: saw
correct ans : thought, prediction is: thought
correct ans : see, prediction is: get
correct ans : work, prediction is: do
correct ans : came, prediction is: came
correct ans : answered, prediction is: answered
correct ans : begged, prediction is: seemed
correct ans : sent, prediction is: gave
correct ans : came, prediction is: came
correct ans : walk, prediction is: find
correct ans : come, prediction is: go
correct ans : going, prediction is: go
correct ans : said, prediction is: said
correct ans : carried, prediction is: told
correct ans : answered, prediction is: answered
correct ans : said, prediction is: said
correct ans : see, prediction is: see
correct ans : yelled, prediction is: be
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : go, prediction is: go
correct ans : looking, prediction is: thought
correct ans : fix, prediction is: come
correct ans : love, prediction is: know
correct ans : fled, prediction is: heard
correct ans : looked, prediction is: 's
correct ans : think, prediction is: think
correct ans : talked, prediction is: do
correct ans : know, prediction is: know
correct ans : reached, prediction is: saw
correct ans : see, prediction is: see
correct ans : looked, prediction is: looked
correct ans : rode, prediction is: rode
correct ans : asked, prediction is: see
correct ans : found, prediction is: found
correct ans : found, prediction is: said
correct ans : called, prediction is: cried
correct ans : keep, prediction is: made
correct ans : asked, prediction is: asked
correct ans : eat, prediction is: find
correct ans : saw, prediction is: saw
correct ans : said, prediction is: said
correct ans : think, prediction is: think
correct ans : went, prediction is: said
correct ans : find, prediction is: give
correct ans : reached, prediction is: cried
correct ans : said, prediction is: said
correct ans : know, prediction is: know
correct ans : said, prediction is: said
correct ans : go, prediction is: go
correct ans : come, prediction is: go
correct ans : drove, prediction is: saw
correct ans : see, prediction is: see
correct ans : happened, prediction is: happened
correct ans : read, prediction is: read
correct ans : come, prediction is: come
correct ans : go, prediction is: go
correct ans : danced, prediction is: thought
correct ans : seen, prediction is: know
correct ans : come, prediction is: go
correct ans : hops, prediction is: wonder
correct ans : said, prediction is: said
correct ans : build, prediction is: make
correct ans : answered, prediction is: answered
correct ans : begged, prediction is: begged
correct ans : said, prediction is: know
correct ans : embroidered, prediction is: put
correct ans : buried, prediction is: doing
correct ans : learned, prediction is: have
correct ans : told, prediction is: told
correct ans : said, prediction is: said
correct ans : saw, prediction is: 's
correct ans : hope, prediction is: did
correct ans : called, prediction is: went
correct ans : go, prediction is: take
correct ans : rub, prediction is: take
correct ans : got, prediction is: come
correct ans : talk, prediction is: think
correct ans : go, prediction is: go
correct ans : set, prediction is: set
correct ans : get, prediction is: knew
correct ans : make, prediction is: said
correct ans : knew, prediction is: knew
correct ans : see, prediction is: know
correct ans : answered, prediction is: answered
correct ans : says, prediction is: began
correct ans : give, prediction is: thought
correct ans : doing, prediction is: doing
correct ans : broke, prediction is: saw
correct ans : see, prediction is: see
correct ans : cost, prediction is: cost
correct ans : work, prediction is: get
correct ans : let, prediction is: let
correct ans : see, prediction is: let
correct ans : swallow, prediction is: come
correct ans : made, prediction is: made
correct ans : said, prediction is: said
correct ans : come, prediction is: come
correct ans : refuse, prediction is: tell
correct ans : cried, prediction is: is
correct ans : called, prediction is: said
correct ans : take, prediction is: said
correct ans : want, prediction is: want
correct ans : told, prediction is: saw
correct ans : said, prediction is: said
correct ans : knew, prediction is: knew
correct ans : knew, prediction is: knew
correct ans : went, prediction is: went
correct ans : say, prediction is: know
correct ans : answered, prediction is: answered
correct ans : looked, prediction is: looked
correct ans : die, prediction is: die
correct ans : knew, prediction is: knew
correct ans : replied, prediction is: replied
correct ans : said, prediction is: said
correct ans : know, prediction is: know
correct ans : took, prediction is: told
correct ans : see, prediction is: see
correct ans : took, prediction is: did
correct ans : make, prediction is: do
correct ans : went, prediction is: went
correct ans : saw, prediction is: saw
correct ans : hear, prediction is: said
correct ans : making, prediction is: making
correct ans : fell, prediction is: lay
correct ans : thought, prediction is: thought
correct ans : said, prediction is: said
correct ans : made, prediction is: made
correct ans : became, prediction is: said
correct ans : said, prediction is: said
correct ans : speak, prediction is: want
correct ans : know, prediction is: know
correct ans : said, prediction is: said
correct ans : knew, prediction is: was
correct ans : stepped, prediction is: reached
correct ans : go, prediction is: go
correct ans : catch, prediction is: do
correct ans : see, prediction is: see
correct ans : see, prediction is: see
correct ans : met, prediction is: began
correct ans : got, prediction is: got
correct ans : change, prediction is: change
correct ans : said, prediction is: said
correct ans : meet, prediction is: know
correct ans : found, prediction is: see
correct ans : named, prediction is: said
correct ans : said, prediction is: said
correct ans : flew, prediction is: flew
correct ans : returned, prediction is: returned
correct ans : find, prediction is: go
correct ans : went, prediction is: went
